feature,value,frequency
Material,"Microfiber, Stainless Steel",1
Material,"Stainless Steel Blade, Food Grade Plastic",1
Material,Stainless Steel SUS 304,1
Material,"Silicone,Rubber,Sponge,Foam,Polyvinyl Chloride,Velvet",1
Material,Stainless Steel Mesh,1
Material,"Plastic,Plastic Handle,Steel",1
Material,"Plastic,Microfiber",1
Material,Velvet,1
Material,Marble,1
Material,"Plastic, Stainless Steel",1
Material,"microfiber, cotton",1
Material,Resin,1
Material,"Aluminium, Nylon, Silicone",1
Material,"Abs Plastic, Stainless Steel",1
Material,"Polyvinyl Chloride (PVC), Stainless Steel",1
Material,Stainless steal,1
Material,Borosilicate Glass,1
Material,steel,1
Material,Jute,1
Material,MS,1
Material,"Polyvinyl Chloride, Stainless Steel",1
Material,Wood,1
Material,"Plastic, Steel",1
Material type,Mesh,53
Material type,Cotton,37
Material type,Synthetic,27
Material type,Leather,25
Material type,Polyurethane,22
Material type,Cotton Blend,12
Material type,Textile,11
Material type,Stainless Steel,10
Material type,Faux Leather,8
Material type,Suede,8
Material type,Ethylene Vinyl Acetate,7
Material type,Polyester,6
Material type,Denim,5
Material type,Rubber,5
Material type,Lycra,4
Material type,Metal,4
Material type,Thermoplastic Elastomers,4
Material type,Nylon,3
Material type,Polycotton,3
Material type,Canvas,3
Material type,Polyester Blend,2
Material type,Synethic,2
Material type,Knitted,2
Material type,Wool Blend,1
Material type,"Faux Leather, Polyurethane, Metal",1
Material type,"Polyester, Mesh",1
Material type,Microfiber,1
Material type,Nylon Blend,1
Material type,Poly Lycra,1
Material type,"Polyester, Blend, Cotton",1
Material type,Corduroy,1
Material type,Linen,1
Material type,100% Linen cotton,1
Material type,"Imported Japanese Fabric, Cotton Blend",1
Material type,Fleece,1
Material type,Mixed Fabric,1
Material type,NUBUK PRINT,1
Material type,"Thermoplastic Elastomers, Leather",1
Material type,Fabric,1
Material type,"Mesh, Suede",1
Material type,"Mesh, Ethylene Vinyl Acetate",1
Material type,Duraleather,1
Material type,Mesh and Synthetic,1
Material type,FLYKNIT,1
Material type,"Mesh, Synthetic",1
Material type,"Mesh, Polyvinyl Chloride (PVC)",1
Material type,"TEXTILE,SYNTHETICS,LEATHER",1
Material type,Polyvinyl Chloride,1
Material type,MESH + PU,1
Material type,"Polyurethane (PU) leather, suede",1
Material type,"Leather, Suede",1
Material type,TPU & Mesh,1
Material type,Alloy Steel,1
Material type,"Leather, Ethylene Vinyl Acetate",1
Material type,MESH + TPU,1
Material type,Water-resistant leather,1
Material type,"Mesh, Faux Leather",1
Material type,Knit Fabric,1
Material type,Knitted Fabric,1
Material type,90% Polyester + 10% Elastane,1
Material type,"Upper: 80% Polyester, 20% Recycled Polyester ; Lining: 94% Polyester + 6% Elastane; Outsole: 100% Rubber",1
Material type,"Upper: 90% Polyester, 10% Recycled Polyester ; Lining: 90% Polyester + 10% Elastane; Outsole: 100% Rubber",1
Material type,Synthetics,1
Material type,"Ethylene Vinyl Acetate, Rubber",1
Material type,Knit,1
Material type,"Mesh & Lycra, EVA Outsole",1
Material type,MESH+TPU,1
Material type,Stretch Knit,1
Material type,"Synthetic, Rubber",1
Material type,Synthetic Mesh,1
Operating System,Android 15,67
Operating System,Android,46
Operating System,Android 14,44
Operating System,Android 16,43
Operating System,Android 15.0,15
Operating System,OxygenOS 16,15
Operating System,"Android 15, Xiaomi HyperOS",12
Operating System,Android 12.0,9
Operating System,Android 16.0,8
Operating System,Android 11.0,7
Operating System,android,6
Operating System,"Android 16, Xiaomi HyperOS",6
Operating System,Android 13.0,6
Operating System,Android 15 Go,5
Operating System,S30+,5
Operating System,Nokia Series 30+,5
Operating System,ANDROID 15,4
Operating System,Android 16 with One UI 8.5,4
Operating System,iOS,4
Operating System,RTOS,4
Operating System,WatchOS,3
Operating System,Funtouch OS 15 Based On Android 15,3
Operating System,Android 16.0 with One UI 8.5,3
Operating System,OriginOS 6 based on Android 16,3
Operating System,"Android 16, HyperOS 3",3
Operating System,OriginOS 6,3
Operating System,"android4.4 (contain), ios8.0 contain) above",2
Operating System,Proprietary OS,2
Operating System,Smartwatch,2
Operating System,Nothing OS 3.5 (Based on Android 15),2
Operating System,Origin OS 6.0 based on Android 16.0,2
Operating System,"Android 16, OxygenOS 16",2
Operating System,OriginOS 6.0 based on Android 16,2
Operating System,Android 17 with One UI 9.0,2
Operating System,"OriginOS 6, Android 16",2
Operating System,Funtouch OS 14,2
Operating System,Funtouch OS 15,2
Operating System,OxygenOS,2
Operating System,HyperOS 3 + Android 16,2
Operating System,"Android 15, OxygenOS",2
Operating System,"i_os, android",1
Operating System,Noise OS,1
Operating System,"android,ios",1
Operating System,Zepp OS,1
Operating System,"Android, ios",1
Operating System,"android, ios",1
Operating System,watch os,1
Operating System,android & iOS,1
Operating System,Android & iOS,1
Operating System,Android 6.0 Marshmallow,1
Operating System,"Funtouch OS 14, Android 14",1
Operating System,OriginOS 6.0,1
Operating System,Android 16 with Moto Hello UI (Android 17 upgrade + 3 years security updates),1
Operating System,andriod,1
Operating System,ANDROID,1
Operating System,FunTouch OS 13 (Android 13 edition),1
Operating System,Xiaomi HyperOS,1
Operating System,"Android, Android 7.1",1
Operating System,Miui 14,1
Operating System,Android 8.1,1
Operating System,Funtouch OS 15 based on Android 15,1
Operating System,Funtouch OS 12 based on Android 12,1
Operating System,ANDROID15,1
Operating System,Android16,1
Operating System,"MIUI 13, Android 12; 3 years of Android updates & 4 years of security updates",1
Operating System,Threadx RTOS,1
Operating System,Andriod 15 Go,1
Operating System,ColorOS,1
Operating System,Windows 11 Home,1
RAM Memory Installed Size,8 GB,138
RAM Memory Installed Size,4 GB,101
RAM Memory Installed Size,6 GB,70
RAM Memory Installed Size,12 GB,53
RAM Memory Installed Size,16 GB,34
RAM Memory Installed Size,3 GB,9
RAM Memory Installed Size,24 GB,6
RAM Memory Installed Size,4 MB,5
RAM Memory Installed Size,0.1 GB,3
RAM Memory Installed Size,64 GB,3
RAM Memory Installed Size,32 GB,3
RAM Memory Installed Size,256 GB,2
RAM Memory Installed Size,8 MB,2
RAM Memory Installed Size,64 MB,2
RAM Memory Installed Size,3 MB,1
RAM Memory Installed Size,3.92 GB,1
RAM Memory Installed Size,7.98 GB,1
RAM Memory Installed Size,16 MB,1
RAM Memory Installed Size,32 MB,1
RAM Memory Installed Size,12.01 GB,1
RAM Memory Installed Size,2 GB,1
RAM Memory Installed Size,12.02 GB,1
RAM Memory Installed Size,1 TB,1
RAM Memory Installed Size,128 GB,1
Sole material,Rubber,113
Sole material,Ethylene Vinyl Acetate,48
Sole material,Thermoplastic Elastomers,11
Sole material,Synthetic Rubber,5
Sole material,Polyurethane,4
Sole material,Leather,4
Sole material,Polyvinyl Chloride,4
Sole material,EVA+TPU+TPR,4
Sole material,Synthetic,4
Sole material,Phylon,3
Sole material,Thermoplastic Polyurethane,3
Sole material,Comfy inner sole,1
Sole material,EVA+TPR,1
Sole material,Ethylene Vinyl Acetate (EVA),1
Sole material,EVA and Rubber,1
Sole material,Eva / Phylon (Ethylene Vinyl Acetate),1
Sole material,EVA + TPR,1
Sole material,"Ethylene Vinyl Acetate, Rubber",1
Sole material,EVA/Rubber,1
Sole material,PHYLON,1
Watch movement type,Quartz,136
Watch movement type,Automatic,7
Watch movement type,Japanese Quartz,4
Watch movement type,Light Powered,1
Watch movement type,Eco-Drive,1
Watch movement type,Mechanical (automatic),1
Water resistance level,Not Water Resistant,203
Water resistance level,Water Repellent,13
Water resistance level,Water Resistant,11
Water resistance level,Waterproof,2
Water resistance level,Moisture Resistant,1
